date,hype_qty,usd_value,avg_price,fill_count
2026-02-27,31659.45,888240.41,28.0561,375
2026-02-28,63412.6,1791766.97,28.2557,639
2026-03-01,47566.56,1479605.77,31.106,632
2026-03-02,22425.66,698057.2,31.1276,264
