date,fr_daily_sum,oi_usd,volume_usd,liquidations_usd,usdc_supply,bridged_usdc,oi_chg_1d,oi_chg_3d,vol_ma7,vol_ratio,fee_ratio,usdc_chg_1d,usdc_chg_7d,bridge_flow_1d,bridge_flow_7d,bridge_flow_1d_pct,bridge_flow_7d_pct,liq_ma7,liq_ratio,fr_ma7,fr_zscore,spot_close,spot_twap_7d,spot_twap_14d,spot_twap_30d,spot_vwap_7d,ret_1d,ret_3d,ret_7d,ret_14d,twap_premium_7d,fee_total,fee_spot,fee_perp,fee_ma7
2023-06-09,,,,,,3578746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-10,,,,,,3545393,,,,,,,,-33353.0,,-0.0093197449609444,,,,,,,,,,,,,,,,,,,
2023-06-11,,,,,,3495056,,,,,,,,-50337.0,,-0.0141978618449351,,,,,,,,,,,,,,,,,,,
2023-06-12,,,,,,3468420,,,,,,,,-26636.0,,-0.0076210509931743,,,,,,,,,,,,,,,,,,,
2023-06-13,,,,,,3321824,,,,,,,,-146596.0,,-0.0422659308849562,,,,,,,,,,,,,,,,,,,
2023-06-14,,,,,,3311013,,,,,,,,-10811.0,,-0.003254537266273,,,,,,,,,,,,,,,,,,,
2023-06-15,,,,,,3312639,,,,,,,,1626.0,,0.0004910883768804,,,,,,,,,,,,,,,,,,,
2023-06-16,,,,,,3363218,,,,,,,,50579.0,-215528.0,0.0152684913750034,-0.0602244473343456,,,,,,,,,,,,,,,,,,
2023-06-17,,,,,,3449652,,,,,,,,86434.0,-95741.0,0.0256997910929352,-0.0270043405625272,,,,,,,,,,,,,,,,,,
2023-06-18,,,,,,3456379,,,,,,,,6727.0,-38677.0,0.0019500517733384,-0.0110662032310784,,,,,,,,,,,,,,,,,,
2023-06-19,,,,,,3459557,,,,,,,,3178.0,-8863.0,0.000919459353271,-0.0025553422019247,,,,,,,,,,,,,,,,,,
2023-06-20,,,,,,3343706,,,,,,,,-115851.0,21882.0,-0.0334872355044302,0.0065873447840705,,,,,,,,,,,,,,,,,,
2023-06-21,,,,,,3231313,,,,,,,,-112393.0,-79700.0,-0.0336133021264429,-0.0240711830488131,,,,,,,,,,,,,,,,,,
2023-06-22,,,,,,3271606,,,,,,,,40293.0,-41033.0,0.0124695441141109,-0.0123868009765024,,,,,,,,,,,,,,,,,,
2023-06-23,,,,,,3257585,,,,,,,,-14021.0,-105633.0,-0.0042856627601245,-0.0314083119203096,,,,,,,,,,,,,,,,,,
2023-06-24,,,,,,3277395,,,,,,,,19810.0,-172257.0,0.0060811920487109,-0.0499346020989943,,,,,,,,,,,,,,,,,,
2023-06-25,,,,,,3203137,,,,,,,,-74258.0,-253242.0,-0.0226576290010817,-0.0732680067781919,,,,,,,,,,,,,,,,,,
2023-06-26,,,,,,3233112,,,,,,,,29975.0,-226445.0,0.0093580137221729,-0.0654549122907932,,,,,,,,,,,,,,,,,,
2023-06-27,,,,,,3304769,,,,,,,,71657.0,-38937.0,0.0221634759327855,-0.0116448635137179,,,,,,,,,,,,,,,,,,
2023-06-28,,,,,,3266184,,,,,,,,-38585.0,34871.0,-0.0116755513017702,0.0107915884347942,,,,,,,,,,,,,,,,,,
2023-06-29,,,,,,3296681,,,,,,,,30497.0,25075.0,0.0093371959448702,0.0076644314749392,,,,,,,,,,,,,,,,,,
2023-06-30,,,,,,3308754,,,,,,,,12073.0,51169.0,0.0036621681017969,0.0157076484573694,,,,,,,,,,,,,,,,,,
2023-07-01,,,,,,3397471,,,,,,,,88717.0,120076.0,0.0268128123154516,0.0366376344627363,,,,,,,,,,,,,,,,,,
2023-07-02,,,,,,3359952,,,,,,,,-37519.0,156815.0,-0.0110432142025641,0.0489566946402855,,,,,,,,,,,,,,,,,,
2023-07-03,,,,,,3384971,,,,,,,,25019.0,151859.0,0.0074462373271999,0.0469699162911769,,,,,,,,,,,,,,,,,,
2023-07-04,,,,,,3092030,,,,,,,,-292941.0,-212739.0,-0.0865416572254238,-0.064373334414599,,,,,,,,,,,,,,,,,,
2023-07-05,,,,,,3178052,,,,,,,,86022.0,-88132.0,0.0278205580152843,-0.0269831705745909,,,,,,,,,,,,,,,,,,
2023-07-06,,,,,,3152538,,,,,,,,-25514.0,-144143.0,-0.0080281883367546,-0.0437236723844375,,,,,,,,,,,,,,,,,,
2023-07-07,,,,,,3168164,,,,,,,,15626.0,-140590.0,0.0049566412839432,-0.0424903150853765,,,,,,,,,,,,,,,,,,
2023-07-08,,,,,,3260666,,,,,,,,92502.0,-136805.0,0.0291973521572745,-0.0402667160367226,,,,,,,,,,,,,,,,,,
2023-07-09,,,,,,3204794,,,,,,,,-55872.0,-155158.0,-0.0171351496902779,-0.0461786358852746,,,,,,,,,,,,,,,,,,
2023-07-10,,,,,,2796077,,,,,,,,-408717.0,-588894.0,-0.1275330021211972,-0.1739731300504494,,,,,,,,,,,,,,,,,,
2023-07-11,,,,,,2796251,,,,,,,,174.0,-295779.0,6.223004588212788e-05,-0.095658515603018,,,,,,,,,,,,,,,,,,
2023-07-12,,,,,,2818522,,,,,,,,22271.0,-359530.0,0.0079645925920097,-0.1131290488638951,,,,,,,,,,,,,,,,,,
2023-07-13,,,,,,2857999,,,,,,,,39477.0,-294539.0,0.014006277048751,-0.093429167229705,,,,,,,,,,,,,,,,,,
2023-07-14,,,,,,3087583,,,,,,,,229584.0,-80581.0,0.0803303290169101,-0.0254346050267599,,,,,,,,,,,,,,,,,,
2023-07-15,,,,,,3217260,,,,,,,,129677.0,-43406.0,0.0419995187173916,-0.0133120043573919,,,,,,,,,,,,,,,,,,
2023-07-16,,,,,,3204251,,,,,,,,-13009.0,-543.0,-0.0040435028564679,-0.0001694336671873,,,,,,,,,,,,,,,,,,
2023-07-17,,,,,,3188197,,,,,,,,-16054.0,392120.0,-0.0050102192368824,0.1402393424787658,,,,,,,,,,,,,,,,,,
2023-07-18,,,,,,3126040,,,,,,,,-62157.0,329789.0,-0.0194959721748687,0.1179396985463752,,,,,,,,,,,,,,,,,,
2023-07-19,,,,,,3156723,,,,,,,,30683.0,338201.0,0.009815293470333,0.1199923222171053,,,,,,,,,,,,,,,,,,
2023-07-20,,,,,,3344757,,,,,,,,188034.0,486758.0,0.0595662020392666,0.1703142653303937,,,,,,,,,,,,,,,,,,
2023-07-21,,,,,,3362256,,,,,,,,17499.0,274673.0,0.0052317702003463,0.0889605234903807,,,,,,,,,,,,,,,,,,
2023-07-22,,,,,,3375671,,,,,,,,13415.0,158411.0,0.0039898806039753,0.0492378607883727,,,,,,,,,,,,,,,,,,
2023-07-23,,,,,,3409513,,,,,,,,33842.0,205262.0,0.0100252660878386,0.0640592762551996,,,,,,,,,,,,,,,,,,
2023-07-24,,,,,,3305620,,,,,,,,-103893.0,117423.0,-0.0304715072211192,0.0368305346250561,,,,,,,,,,,,,,,,,,
2023-07-25,,,,,,3334362,,,,,,,,28742.0,208322.0,0.0086948893097209,0.0666408619211527,,,,,,,,,,,,,,,,,,
2023-07-26,,,,,,3016982,,,,,,,,-317380.0,-139741.0,-0.0951846260244089,-0.0442677422124145,,,,,,,,,,,,,,,,,,
2023-07-27,,,,,,3039223,,,,,,,,22241.0,-305534.0,0.0073719365909374,-0.0913471442021049,,,,,,,,,,,,,,,,,,
2023-07-28,,,,,,3033549,,,,,,,,-5674.0,-328707.0,-0.0018669245395944,-0.0977638228617927,,,,,,,,,,,,,,,,,,
2023-07-29,,,,,,3089461,,,,,,,,55912.0,-286210.0,0.0184312170332505,-0.0847861062289542,,,,,,,,,,,,,,,,,,
2023-07-30,,,,,,3163954,,,,,,,,74493.0,-245559.0,0.0241119729299059,-0.0720217227504338,,,,,,,,,,,,,,,,,,
2023-07-31,,,,,,3178095,,,,,,,,14141.0,-127525.0,0.0044694075830431,-0.0385782394830621,,,,,,,,,,,,,,,,,,
2023-08-01,,,,,,3134645,,,,,,,,-43450.0,-199717.0,-0.0136717121420222,-0.0598966159043319,,,,,,,,,,,,,,,,,,
2023-08-02,,,,,,3142173,,,,,,,,7528.0,125191.0,0.0024015478626766,0.0414954414709798,,,,,,,,,,,,,,,,,,
2023-08-03,,,,,,3157057,,,,,,,,14884.0,117834.0,0.0047368493077879,0.038771093796013,,,,,,,,,,,,,,,,,,
2023-08-04,,,,,,3182419,,,,,,,,25362.0,148870.0,0.0080334311353897,0.0490745328326656,,,,,,,,,,,,,,,,,,
2023-08-05,,,,,,3225000,,,,,,,,42581.0,135539.0,0.013380073459843,0.0438714066952132,,,,,,,,,,,,,,,,,,
2023-08-06,,,,,,3158003,,,,,,,,-66997.0,-5951.0,-0.0207742635658915,-0.0018808743742797,,,,,,,,,,,,,,,,,,
2023-08-07,,,,,,3252921,,,,,,,,94918.0,74826.0,0.0300563362352728,0.0235442930434741,,,,,,,,,,,,,,,,,,
2023-08-08,,,,,,3622235,,,,,,,,369314.0,487590.0,0.1135330369228149,0.1555487144477285,,,,,,,,,,,,,,,,,,
2023-08-09,,,,,,4115304,,,,,,,,493069.0,973131.0,0.1361228633702673,0.3097000069696989,,,,,,,,,,,,,,,,,,
2023-08-10,,,,,,4189426,,,,,,,,74122.0,1032369.0,0.0180113060906315,0.3270035986046498,,,,,,,,,,,,,,,,,,
